2025-04-28 21:46:40.931559: New York | 21.38°C | clear sky | Humidity: 29%
2025-04-28 21:46:42.103096: London | 21.24°C | broken clouds | Humidity: 45%
2025-04-28 21:46:42.230443: Tokyo | 15.47°C | moderate rain | Humidity: 76%
2025-04-28 21:46:42.481342: kurnool | 35.75°C | broken clouds | Humidity: 25%
2025-04-28 21:49:29.746656: Hyderabad | 33.27°C | scattered clouds | Humidity: 24%
2025-04-28 21:49:29.848491: Nuzvid | 28.7°C | scattered clouds | Humidity: 66%
2025-04-28 21:49:32.970914: Delhi | 37.42°C | clear sky | Humidity: 8%
2025-04-28 21:49:33.029251: Vijayawada | 29.6°C | broken clouds | Humidity: 66%
2025-04-28 21:49:33.127557: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:49:33.237938: New York | 21.38°C | clear sky | Humidity: 29%
2025-04-28 21:49:33.338030: London | 21.24°C | broken clouds | Humidity: 45%
2025-04-28 21:49:34.404556: Tokyo | 15.47°C | moderate rain | Humidity: 76%
2025-04-28 21:56:48.109199: Hyderabad | 33.27°C | scattered clouds | Humidity: 24%
2025-04-28 21:56:48.185563: Nuzvid | 28.7°C | scattered clouds | Humidity: 66%
2025-04-28 21:56:49.926868: Delhi | 37.42°C | clear sky | Humidity: 8%
2025-04-28 21:56:50.118229: Vijayawada | 29.6°C | broken clouds | Humidity: 66%
2025-04-28 21:56:50.179377: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:56:50.282497: New York | 21.5°C | clear sky | Humidity: 28%
2025-04-28 21:56:50.393993: London | 21.24°C | broken clouds | Humidity: 45%
2025-04-28 21:56:50.506685: Tokyo | 15.47°C | heavy intensity rain | Humidity: 76%
2025-04-28 21:56:50.618387: kurnool | 35.75°C | broken clouds | Humidity: 25%
2025-04-28 21:59:35.579836: Hyderabad | 33.27°C | scattered clouds | Humidity: 24%
2025-04-28 21:59:35.649736: Nuzvid | 28.7°C | scattered clouds | Humidity: 66%
2025-04-28 21:59:35.759851: Delhi | 37.42°C | clear sky | Humidity: 8%
2025-04-28 21:59:35.868619: Vijayawada | 29.6°C | broken clouds | Humidity: 66%
2025-04-28 21:59:35.935499: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:59:36.998519: New York | 21.5°C | clear sky | Humidity: 28%
2025-04-28 21:59:37.059165: London | 21.12°C | broken clouds | Humidity: 45%
2025-04-28 21:59:37.124636: Tokyo | 15.47°C | overcast clouds | Humidity: 76%
2025-04-28 22:06:55.426933: Hyderabad | 32.23°C | haze | Humidity: 43%
2025-04-28 22:06:55.559061: Nuzvid | 29.47°C | scattered clouds | Humidity: 70%
2025-04-28 22:06:55.834639: Delhi | 32.05°C | haze | Humidity: 35%
2025-04-28 22:06:55.966222: Vijayawada | 29.97°C | broken clouds | Humidity: 70%
2025-04-28 22:06:56.169566: Antarctica | -51.94°C | broken clouds | Humidity: 100%
2025-04-28 22:06:56.293350: New York | 21.53°C | clear sky | Humidity: 25%
2025-04-28 22:06:56.411876: London | 23.18°C | broken clouds | Humidity: 40%
2025-04-28 22:06:56.547056: Tokyo | 13.54°C | broken clouds | Humidity: 91%
2025-04-28 22:06:56.676081: kurnool | 35.07°C | broken clouds | Humidity: 26%
2025-04-28 22:09:45.669588: Hyderabad | 32.23°C | haze | Humidity: 43%
2025-04-28 22:09:46.110734: Nuzvid | 29.47°C | scattered clouds | Humidity: 70%
2025-04-28 22:09:46.240478: Delhi | 31.05°C | haze | Humidity: 37%
2025-04-28 22:09:46.372700: Vijayawada | 29.97°C | broken clouds | Humidity: 70%
2025-04-28 22:09:47.512730: Antarctica | -51.94°C | broken clouds | Humidity: 100%
2025-04-28 22:09:47.651370: New York | 21.47°C | clear sky | Humidity: 25%
2025-04-28 22:09:47.771350: London | 23.26°C | broken clouds | Humidity: 40%
2025-04-28 22:09:47.893170: Tokyo | 13.54°C | broken clouds | Humidity: 91%
2025-04-28 22:17:04.399913: Hyderabad | 32.57°C | scattered clouds | Humidity: 26%
2025-04-28 22:17:04.621520: Nuzvid | 28.16°C | scattered clouds | Humidity: 70%
2025-04-28 22:17:07.339361: Delhi | 36.53°C | clear sky | Humidity: 8%
2025-04-28 22:17:07.395047: Vijayawada | 29.01°C | broken clouds | Humidity: 69%
2025-04-28 22:17:07.507599: Antarctica | -51.94°C | broken clouds | Humidity: 100%
2025-04-28 22:17:07.606464: New York | 22.68°C | clear sky | Humidity: 26%
2025-04-28 22:17:07.657478: London | 20.21°C | broken clouds | Humidity: 46%
2025-04-28 22:17:07.764490: Tokyo | 15.61°C | overcast clouds | Humidity: 75%
2025-04-28 22:17:07.826715: kurnool | 35.07°C | broken clouds | Humidity: 26%
2025-04-28 22:19:55.035908: Hyderabad | 32.57°C | scattered clouds | Humidity: 26%
2025-04-28 22:19:55.101124: Nuzvid | 28.16°C | scattered clouds | Humidity: 70%
2025-04-28 22:19:55.206139: Delhi | 36.53°C | clear sky | Humidity: 8%
2025-04-28 22:19:55.306939: Vijayawada | 29.01°C | broken clouds | Humidity: 69%
2025-04-28 22:19:55.411070: Antarctica | -51.94°C | broken clouds | Humidity: 100%
2025-04-28 22:19:57.698367: New York | 22.68°C | clear sky | Humidity: 26%
2025-04-28 22:19:57.794479: London | 20.21°C | broken clouds | Humidity: 46%
2025-04-28 22:19:57.893873: Tokyo | 15.61°C | overcast clouds | Humidity: 75%
2025-04-28 22:27:11.572736: Hyderabad | 32.57°C | scattered clouds | Humidity: 26%
2025-04-28 22:27:11.644838: Nuzvid | 28.16°C | scattered clouds | Humidity: 70%
2025-04-28 22:27:12.760452: Delhi | 36.53°C | clear sky | Humidity: 8%
2025-04-28 22:27:12.819024: Vijayawada | 29.01°C | broken clouds | Humidity: 69%
2025-04-28 22:27:12.880802: Antarctica | -51.94°C | broken clouds | Humidity: 100%
2025-04-28 22:27:12.996198: New York | 22.84°C | clear sky | Humidity: 26%
2025-04-28 22:27:13.052432: London | 20.18°C | broken clouds | Humidity: 47%
